CMDLINE /home/cedar/ldipalma/explore_by_example/.env/bin/python3.6 run_experiment.py
MEM 1736.234375 1516011939.9419
MEM 1738.812500 1516011940.0422
MEM 1741.390625 1516011940.1425
MEM 1743.968750 1516011940.2428
MEM 1746.546875 1516011940.3431
MEM 1481.746094 1516011940.4435
MEM 1208.996094 1516011940.5438
MEM 913.996094 1516011940.6440
MEM 631.246094 1516011940.7443
MEM 596.246094 1516011940.8446
MEM 596.246094 1516011940.9449
MEM 543.972656 1516011941.0452
MEM 543.972656 1516011941.1455
MEM 543.972656 1516011941.2458
MEM 543.972656 1516011941.3461
MEM 543.972656 1516011941.4465
MEM 543.980469 1516011941.5468
MEM 0.000000 1516011941.6472
MEM 0.000000 1516011941.7475
