CMDLINE /home/cedar/ldipalma/explore_by_example/.env/bin/python3.6 run_experiment.py
MEM 732.273438 1516011872.1367
MEM 750.253906 1516011872.2369
MEM 768.253906 1516011872.3372
MEM 786.253906 1516011872.4374
MEM 804.031250 1516011872.5376
MEM 822.031250 1516011872.6380
MEM 839.343750 1516011872.7383
MEM 857.117188 1516011872.8386
MEM 875.117188 1516011872.9389
MEM 893.117188 1516011873.0393
MEM 911.117188 1516011873.1395
MEM 928.312500 1516011873.2399
MEM 945.433594 1516011873.3401
MEM 950.156250 1516011873.4403
MEM 964.957031 1516011873.5407
MEM 968.175781 1516011873.6410
MEM 983.648438 1516011873.7412
MEM 989.386719 1516011873.8415
MEM 1002.613281 1516011873.9417
MEM 1011.101562 1516011874.0419
MEM 1019.894531 1516011874.1423
MEM 1034.589844 1516011874.2425
MEM 1035.621094 1516011874.3429
MEM 1051.343750 1516011874.4433
MEM 1063.972656 1516011874.5436
MEM 1064.746094 1516011874.6439
MEM 1080.468750 1516011874.7442
MEM 1096.195312 1516011874.8444
MEM 1101.351562 1516011874.9459
MEM 1106.761719 1516011875.0461
MEM 1121.832031 1516011875.1463
MEM 1137.171875 1516011875.2467
MEM 1148.535156 1516011875.3470
MEM 1148.535156 1516011875.4472
MEM 1157.074219 1516011875.5475
MEM 1172.539062 1516011875.6479
MEM 1188.003906 1516011875.7482
MEM 1203.472656 1516011875.8485
MEM 1207.265625 1516011875.9489
MEM 1207.265625 1516011876.0491
MEM 1220.910156 1516011876.1495
MEM 1236.378906 1516011876.2497
MEM 1251.843750 1516011876.3499
MEM 1266.773438 1516011876.4501
MEM 1281.648438 1516011876.5504
MEM 1281.667969 1516011876.6507
MEM 1281.667969 1516011876.7510
MEM 1290.804688 1516011876.8514
MEM 1305.906250 1516011876.9518
MEM 1321.011719 1516011877.0520
MEM 1336.335938 1516011877.1523
MEM 1350.882812 1516011877.2526
MEM 1365.988281 1516011877.3529
MEM 1373.460938 1516011877.4531
MEM 1373.460938 1516011877.5534
MEM 1373.460938 1516011877.6536
MEM 1379.597656 1516011877.7538
MEM 1387.332031 1516011877.8542
MEM 1395.066406 1516011877.9545
MEM 1402.800781 1516011878.0547
MEM 1410.535156 1516011878.1549
MEM 1418.269531 1516011878.2552
MEM 1426.003906 1516011878.3556
MEM 1433.738281 1516011878.4559
MEM 1441.472656 1516011878.5563
MEM 1449.207031 1516011878.6566
MEM 1456.941406 1516011878.7569
MEM 1464.417969 1516011878.8574
MEM 1471.718750 1516011878.9578
MEM 1479.335938 1516011879.0580
MEM 1487.160156 1516011879.1584
MEM 1494.773438 1516011879.2586
MEM 1502.058594 1516011879.3588
MEM 1503.406250 1516011879.4591
MEM 1503.406250 1516011879.5593
MEM 1503.406250 1516011879.6595
MEM 1503.406250 1516011879.7599
MEM 1503.406250 1516011879.8601
MEM 1503.406250 1516011879.9603
MEM 1503.406250 1516011880.0606
MEM 1503.406250 1516011880.1609
MEM 1503.406250 1516011880.2611
MEM 1503.406250 1516011880.3615
MEM 1503.406250 1516011880.4619
MEM 1503.406250 1516011880.5622
MEM 1503.406250 1516011880.6625
MEM 1503.406250 1516011880.7629
MEM 1503.406250 1516011880.8631
MEM 1503.406250 1516011880.9635
MEM 1503.406250 1516011881.0638
MEM 1503.406250 1516011881.1641
MEM 1503.406250 1516011881.2643
MEM 1503.406250 1516011881.3647
MEM 1503.406250 1516011881.4651
MEM 1503.406250 1516011881.5653
MEM 1503.406250 1516011881.6657
MEM 1503.406250 1516011881.7660
MEM 1503.406250 1516011881.8663
MEM 1503.406250 1516011881.9665
MEM 1503.406250 1516011882.0668
MEM 1503.406250 1516011882.1670
MEM 1503.406250 1516011882.2673
MEM 1503.406250 1516011882.3676
MEM 1503.406250 1516011882.4678
MEM 1503.406250 1516011882.5681
MEM 1503.406250 1516011882.6683
MEM 1503.406250 1516011882.7686
MEM 1503.406250 1516011882.8688
MEM 1503.406250 1516011882.9692
MEM 1503.406250 1516011883.0694
MEM 1503.406250 1516011883.1697
MEM 1503.406250 1516011883.2699
MEM 1503.406250 1516011883.3701
MEM 1503.406250 1516011883.4704
MEM 1503.406250 1516011883.5707
MEM 1503.406250 1516011883.6709
MEM 1503.406250 1516011883.7713
MEM 1503.406250 1516011883.8716
MEM 1503.406250 1516011883.9718
MEM 1503.406250 1516011884.0721
MEM 1503.406250 1516011884.1723
MEM 1503.406250 1516011884.2725
MEM 1504.953125 1516011884.3729
